Marketplace,J,U,P,PD,OM,EOU,TR,PR,SO,MS,PC,PL,RV,RS,IQ,TC,EN,OR,TY
SHOPEE,1,2,1,4,2,4,4,4,4,4,4,4,4,4,4,3.5,4,3.8,4
LAZADA,1,3,1,3,1,4,3.75,4.33,3.33,3.67,3.75,4,5,5,4,4.5,4,4.2,2.5
TOKOPEDIA,1,2,1,4,2,4,3.75,4,4,3.33,3.5,3.63,2,4,3.5,4,3.5,4.2,2.5
TOKOPEDIA,1,3,1,1,2,3.67,4,4.67,4.33,4.67,4,4,5,3,4.5,4,4,3.2,3.5
SHOPEE,1,3,1,4,4,4,3.75,4,3.33,4,3.25,3.38,4,4,3.5,4,3.5,4.2,3.5
SHOPEE,2,2,1,5,3,3.67,4.75,3.67,4.67,4.33,4,4,4,4,4,4.5,3.75,3.8,3
TOKOPEDIA,1,2,1,1,2,4,4.25,4.33,4.33,4.67,4.5,3.88,5,5,4.5,4,4.5,4.4,4
SHOPEE,2,2,2,2,3,4.33,4.5,4,5,4.33,4,4.5,5,4,4,4.5,3.75,3.8,3.5
SHOPEE,2,2,2,1,4,4,4,4.67,4.33,4.67,4,4.38,5,5,3.5,4,4,4,4.5
SHOPEE,2,2,2,4,1,4,4,4,4,4,4.75,4.5,4,4,4,4,4,4,4
SHOPEE,2,2,1,4,1,3.33,4.25,3.33,4,4,4.5,3.88,4,4,4,3.5,3.75,3.8,3.5
TOKOPEDIA,1,3,2,1,4,4,3.75,3.33,4.67,3.33,4.5,4.13,4,3,3,4,3,4,4
SHOPEE,1,1,1,4,1,4,4,4,4.33,4.67,4.25,4.13,4,4,5,4,4,4,4
SHOPEE,1,2,4,1,1,4.33,4.75,4.33,4,4.33,4.75,4.13,4,4,4,4,5,4.6,4
SHOPEE,1,4,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3.8,4
TOKOPEDIA,1,3,1,4,1,4.67,4.25,3.33,4.33,4,3.5,4,4,4,3,4,3.25,3.4,3.5
SHOPEE,2,3,1,1,1,4,4.5,4.67,4.67,4.67,4.25,4.5,5,5,4,4.5,4.25,3.8,3.5
SHOPEE,2,3,3,1,2,4.67,4,4,4,3.67,4,4.25,4,4,4,4.5,3.5,4.4,4
SHOPEE,2,3,3,1,2,5,4.25,4.67,4,4.67,4.5,4.63,5,5,4.5,5,4.75,4,3.5
SHOPEE,2,1,1,1,1,4.33,4.5,4,4.67,4.33,4.25,4,4,4,4,4,4,4,4
SHOPEE,2,2,3,2,2,4.33,4,4.33,4.67,4.33,4.5,4.38,4,4,5,4.5,4.5,4.2,4
TOKOPEDIA,1,2,1,5,1,4.33,4.25,4.33,4,4.33,4,4.88,5,5,4.5,5,4.25,4.2,4
SHOPEE,2,1,1,1,1,4,3.75,3.67,4,3.67,4,4.25,4,4,4,5,4,3,3.5
SHOPEE,1,2,1,5,2,4,4,4,4,4.33,4.75,4.13,4,4,4,4,3.75,3.8,3
SHOPEE,2,1,1,2,1,4.67,3.5,4.33,4.33,4,4.25,4,4,5,3.5,4.5,4.25,4,4
SHOPEE,2,2,1,5,1,3,3.5,3.33,3.33,3,4.75,4.13,5,5,5,5,3.25,3,3
LAZADA,2,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,2,2,3,1,2,4.67,5,4,4.33,4,3.75,4.13,4,4,4,4.5,3.5,2.8,3
SHOPEE,2,1,1,5,1,5,3.75,4,4,4,4,4.38,4,5,5,4,4.5,3,3.5
TOKOPEDIA,1,2,3,4,1,5,4,2.67,4,4,5,4.5,5,4,3.5,4.5,3,3.2,4
TOKOPEDIA,1,4,1,5,2,4,3.5,4.67,4.67,3.33,4.5,4.13,5,3,3.5,3.5,3.75,3.4,4
TOKOPEDIA,1,2,2,5,3,4,3.5,4,4.67,3.33,4.5,4.13,5,3,3.5,3.5,3.75,3.4,4
SHOPEE,2,2,3,2,2,4,3,4,4,4,3.75,4,4,4,4,4,4,4,4
SHOPEE,2,2,1,2,1,4,4,4,4,4,4,4,4,4,4,3.5,3.5,2.8,4
SHOPEE,2,1,1,4,1,4,3.75,4,4,4,4.5,4.38,5,3,4.5,3.5,3.75,2.8,3.5
SHOPEE,2,2,1,1,2,4,3.75,4.67,3.33,4,4,3.75,4,4,4,3.5,3.5,3.4,4
SHOPEE,2,4,3,4,1,4,4,3,4,3,3,4,3,5,4.5,3,3.5,3.8,3.5
SHOPEE,2,2,3,1,2,4,3.75,4,4,4,5,4.38,5,4,4,3.5,4,3.2,3
SHOPEE,2,1,3,1,1,4,4.75,4,4.67,4.33,4.25,4.38,5,4,4,4.5,4.5,3.4,3.5
SHOPEE,2,3,1,2,1,5,5,5,5,4.67,4.75,4.88,5,5,4.5,5,4.25,4.4,4.5
SHOPEE,1,1,1,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,1,2,1,1,1,4,5,4,4,4,4.25,4.63,4,4,4,4,4,3.8,4
SHOPEE,1,1,1,4,1,4,4,3.67,4,3,3.75,4,4,5,4,4,4,4.2,4
TOKOPEDIA,2,2,1,4,1,4,4,4,4.33,4.33,4,4,5,4,3.5,4.5,4,4,3.5
SHOPEE,1,2,3,1,1,4,3.75,3.33,3.33,4.67,4.5,4.38,4,2,4,4,3.5,4,2.5
SHOPEE,1,2,1,1,1,4,3.5,4,4,4.33,3.75,4,4,4,3.5,3,3.5,3,3
SHOPEE,2,3,2,4,2,4.33,4.5,4.33,4.33,4.67,4.5,4.5,4,5,4,4,4.25,4.8,4.5
TOKOPEDIA,1,2,1,1,1,4,3,3.67,4,3.67,4,4,4,3,3.5,3,4,3,4
SHOPEE,1,2,1,5,1,3.67,3.5,4,3.67,4,3.75,3.5,3,3,4,3.5,3.5,3.6,3
TOKOPEDIA,1,2,1,4,2,4,4,4.67,4.33,4,3.75,3.63,4,5,4,3.5,3.75,4,4
TOKOPEDIA,1,2,1,2,2,4,4.75,4,3.67,3.67,5,4,5,5,4,3.5,4.25,4,4
TOKOPEDIA,2,2,5,4,1,3.33,3.25,4.33,3.33,4,3.75,3.75,3,3,4,3.5,3.75,3.8,3.5
TOKOPEDIA,2,2,3,4,1,4,4,4,4,4.33,4,4.13,5,5,4,4.5,4.25,4,3.5
SHOPEE,2,4,1,4,2,5,5,5,5,4.33,5,5,5,5,5,5,5,5,5
SHOPEE,1,2,1,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,1,1,5,3,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,2,2,1,4,1,4,3.75,3.67,4,5,5,4.13,5,5,4,4.5,3.25,3.2,3
SHOPEE,1,2,1,1,2,5,3,4,4,4,4,4.13,4,4,4,4,4,4,4
SHOPEE,2,2,1,4,1,5,3.5,3.67,4,4,4.75,4.13,4,4,4,4,4,3.4,3.5
SHOPEE,2,1,3,1,2,4.33,5,4.33,4.67,4.67,4.75,5,5,4,5,5,4.75,4,5
SHOPEE,2,1,3,1,2,4.33,5,5,5,5,4.75,5,5,5,5,5,5,5,5
SHOPEE,2,2,3,2,2,5,4.75,4,4.67,3.67,3.75,4,4,4,3.5,4,4,3.6,3.5
SHOPEE,1,2,1,4,2,4,4,3.67,4.67,4.33,4.75,4.38,4,4,4.5,4,3.75,4,4.5
SHOPEE,1,2,1,3,1,4,4,4,4,4,4,3.75,4,4,4,4,4,3.2,3.5
SHOPEE,1,3,1,1,2,4.67,4,4,3.67,3,4,4,4,5,5,4,3.75,4.4,3.5
SHOPEE,1,2,3,3,3,3.67,3.25,4,3,3.67,5,3.5,2,3,3.5,4.5,4.5,4.6,3.5
SHOPEE,2,3,1,1,1,4.33,3.25,5,4,4,4,3.75,4,5,4.5,4,3.75,3.4,4
SHOPEE,1,2,1,5,1,3,3,3,3,3,2.75,3,3,3,3,3,3,2.8,3
SHOPEE,2,2,3,4,1,4,4,3.33,4,3.67,4.5,4.25,5,5,3.5,5,3.75,3.6,4
SHOPEE,2,1,1,5,1,4.33,3.5,4,4,4,3.5,4,5,4,4,3.5,3.75,4,3.5
SHOPEE,2,1,1,4,1,4,3,4,4,3,4,4.25,4,5,4.5,4,3.75,4,4
SHOPEE,1,2,1,5,1,3.67,4,4,3.33,4,3.75,4,5,5,4.5,5,4.25,3.8,4
SHOPEE,2,2,1,4,1,3,3.75,4,4,4.33,4.5,4,4,5,4.5,4.5,4,4,3.5
SHOPEE,1,3,3,1,1,4,3.75,4,4,3.67,3.5,4,4,4,4,4,4.25,3.8,3.5
SHOPEE,2,2,3,1,1,4,3,4,4,3,4,4.25,5,4,5,5,3.75,4.4,4
SHOPEE,2,2,3,4,1,5,4.5,3.67,5,3.33,4.5,4.88,5,5,4.5,5,4.5,3.8,4
SHOPEE,2,2,3,1,1,5,4.5,4.33,5,4,5,4.63,5,5,5,4.5,3.5,4.2,4
TOKOPEDIA,1,2,1,1,1,3.67,3.75,4,3.67,5,5,3.38,4,4,3,4,4,3,2.5
SHOPEE,1,2,1,1,1,4.33,3.75,3.33,5,4.67,4,4,5,5,4,4,4.75,3.8,3.5
TOKOPEDIA,1,2,1,5,1,4,4.25,4.67,4.33,4.33,4,4,4,4,4,4,4,3.8,4
SHOPEE,2,2,3,1,1,4,3.5,3.67,3.33,4.33,4.5,3.63,4,4,4,4.5,3.25,2.6,3
TOKOPEDIA,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SHOPEE,2,3,3,5,2,4.33,4.25,4.67,4.33,4.67,4,4.25,5,5,4.5,4.5,4.25,4.8,4
SHOPEE,1,3,1,5,1,4,3.5,4.33,4.33,4,4,4,5,4,4,5,3.75,4,4
TOKOPEDIA,1,2,1,1,2,4,3.75,4.33,4.33,4.33,4.25,4.25,4,3,4,4.5,4,4,4
SHOPEE,2,2,3,1,2,4,4.5,4.67,5,3.67,3.75,4.75,4,4,4.5,5,3.75,4.2,4
SHOPEE,1,2,2,1,2,4.67,5,4.33,4.33,4.33,4.25,4.5,5,4,4.5,4.5,4.5,4.4,4.5
TOKOPEDIA,2,2,1,4,2,4.33,4.25,4.33,4.67,4,4.25,4.38,4,4,4.5,4,4.75,4.4,4.5
TOKOPEDIA,2,2,1,2,1,3.67,3.25,3,4,3.33,3.5,3.25,3,4,3,3.5,3,3.4,3
LAZADA,1,2,1,5,2,3.33,3.5,3.67,3.67,3.67,4,3.75,4,4,3.5,3.5,2.5,3.6,3.5
LAZADA,1,2,1,1,1,4,3.5,3.33,3.33,3.33,4,3.75,4,4,3.5,4,4.75,4.4,4
SHOPEE,1,2,1,4,1,3.67,3.5,4,4,4,2.5,3.75,5,5,4.5,5,3.75,4.4,2.5
TOKOPEDIA,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
TOKOPEDIA,1,3,1,4,1,4,4,4,4,4,4,4.13,4,4,4,5,4.5,4.4,5
SHOPEE,2,2,3,1,2,4,3.25,3.67,4.33,4.67,4.75,4.25,5,5,4.5,4.5,4.5,3.2,3.5
SHOPEE,2,2,1,1,2,5,5,5,5,5,4.5,5,5,5,5,5,5,5,5
SHOPEE,2,1,1,4,2,4.33,5,5,5,4,4,4,5,5,5,5,3.75,5,5
SHOPEE,1,2,5,1,1,4,4,3.67,4,2.67,4.75,4,4,4,3,4.5,2.75,2.8,4
SHOPEE,2,3,3,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3.5
TOKOPEDIA,1,2,3,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SHOPEE,1,2,1,5,1,4.33,4,3.67,4,4,4.75,4.13,4,4,3.5,4,3.5,3.4,3.5
SHOPEE,1,2,3,4,1,5,5,4.33,4.67,5,4.75,4.5,5,5,4.5,5,4.75,4.6,4.5
TOKOPEDIA,2,2,1,1,1,4.33,3.5,3.67,4,4.67,4.5,4.63,4,4,4.5,4,3.25,3.4,3.5
LAZADA,2,3,3,1,1,4.33,4,3.67,3.33,5,4.5,4.5,4,4,4.5,5,3.5,2.4,3.5
SHOPEE,2,2,2,1,2,3.33,5,4.67,4,4.67,5,4.13,5,5,5,4,3.5,4,5
SHOPEE,2,2,1,2,2,4,5,5,5,4,4,4.5,5,5,4,5,4,3.4,4
SHOPEE,1,2,1,4,1,4.67,4.5,4,4.33,3.67,4.75,4.5,5,5,4.5,4.5,4.25,4.2,3.5
SHOPEE,2,2,1,4,1,5,3.75,4,4,4.33,5,4,5,4,3,4,3.5,3,3.5
TOKOPEDIA,2,3,3,2,3,4,5,5,4.33,4.33,4.25,4.25,5,5,4,4.5,3.5,4,3.5
LAZADA,1,2,2,5,3,4,5,5,5,4.33,4,4.25,5,5,4,4.5,3.75,3.8,5
SHOPEE,2,2,3,1,2,4,3.5,3.33,3.67,3.33,4,3.75,4,4,3.5,4,3.5,3.6,3
LAZADA,2,2,2,4,2,5,5,5,4.67,4.67,4,4.5,5,4,4.5,4.5,3.75,4,4
SHOPEE,2,1,1,1,1,5,5,4.33,5,4.67,5,4.88,5,5,5,5,4,4.8,5
SHOPEE,1,2,1,1,1,4,3.5,3.67,4,4,4,4,4,4,4,4,4,4,3.5
SHOPEE,1,1,1,4,1,5,5,5,4.33,4,4.75,4.25,5,4,4.5,4.5,3.5,3.4,3
SHOPEE,1,2,1,2,1,5,5,5,5,4.67,4,4.75,5,5,5,5,5,5,5
SHOPEE,1,4,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,2,2,1,2,1,4,4,4,4,4,4,3.88,4,4,4,4,4,3.2,3.5
SHOPEE,2,2,2,4,1,4,3.75,4.33,4,4.33,4,4.13,4,4,4.5,4,4,4.8,4
SHOPEE,1,1,1,1,1,4.33,4,4.33,4,3.67,3.5,4.5,4,4,4,4,3.75,4.6,3.5
SHOPEE,2,3,2,4,4,5,4.75,4,5,4,4.75,4.63,5,5,5,5,5,4.4,5
SHOPEE,1,2,1,5,1,5,5,4.67,5,5,5,4.75,5,5,3.5,5,4.75,3.8,5
SHOPEE,2,2,1,5,1,3,4,5,4.33,5,4.5,4.63,5,5,4.5,5,4.75,2.6,3
TOKOPEDIA,2,2,1,4,1,4.67,3.5,4,4,3.33,3.75,4.5,4,4,4,4,4,3.8,4
SHOPEE,2,2,1,1,1,4.33,4,4,4,4,4,3.88,5,5,4,4.5,4,4,4
SHOPEE,1,1,5,5,1,5,3.5,3,3,3,3,3,3,3,3,3,3,3,3
SHOPEE,2,2,3,1,2,4,3.25,3.67,4.33,4.67,4.75,4.25,5,5,4.5,4.5,4.5,3.2,3
SHOPEE,2,1,1,1,1,3.67,3.75,3.33,3,3,2.75,3.63,4,4,3.5,2.5,2.75,2.4,3
SHOPEE,2,4,1,1,1,4,3.5,4.67,3.67,3.67,4.75,4.25,5,4,3.5,4.5,4,2.8,4
SHOPEE,2,3,1,4,1,4,4,3,3,3,4,4,4,4,4,4,4,4,4
SHOPEE,1,2,2,4,1,4,4.75,4,3.67,4,4,3.63,5,5,4,4,4,3.6,3.5
TOKOPEDIA,1,3,3,1,5,4,4,3,4,4.67,4.5,4.38,4,5,4,4.5,3.75,3.4,3.5
SHOPEE,1,2,2,1,1,3.67,3.75,4.33,3.33,3.67,4.5,3.88,4,4,3,3.5,3.75,3.4,3.5
TOKOPEDIA,1,2,1,1,1,4.67,4,4,4,3.67,5,4.5,5,5,5,4.5,4.5,4.4,3.5
TOKOPEDIA,1,1,4,1,1,4,3.75,3.67,4,4,4,3.75,5,5,4.5,4,4.5,4.2,4
SHOPEE,2,2,3,5,1,5,4.75,4.33,5,5,5,4.75,5,5,5,4.5,4,4.8,4
SHOPEE,1,2,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,2,2,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,1,2,1,4,1,3,3,3,3,3,2.75,3,3,3,3,3,3,3,3
SHOPEE,1,2,1,1,1,4,4,3.67,4.67,4,3.5,3.63,5,5,4,4,4,3.6,3.5
SHOPEE,1,1,1,4,1,4,4.25,3.67,3.67,3.67,3.75,4.13,4,4,3.5,4,3.5,4.2,4.5
TOKOPEDIA,2,1,1,2,2,4.33,4,3.67,4.67,4.33,4,4,5,4,4,4,4.25,4,4
SHOPEE,2,2,3,1,3,4,4,4,4,4,3.75,4,4,4,4,4,4,4,4
SHOPEE,2,2,2,1,3,4,5,4.33,4,4.33,5,4.75,5,5,5,4.5,4.75,4.4,5
LAZADA,2,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,1,2,1,5,5,4,4,4,4,4.33,4,3.88,5,5,4.5,4.5,3.25,4,3
SHOPEE,1,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SHOPEE,2,1,1,1,1,5,4.75,5,5,4.67,4.75,4.5,5,5,5,4.5,4.25,4.2,4
SHOPEE,1,2,3,4,1,3,3,3,3,3,3,3.13,3,3,3,3,3,3,3
SHOPEE,2,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,1,1,1,5,1,3.67,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,1,2,1,4,1,5,4.25,4.33,5,4,4.5,4.75,5,5,5,4,3.5,3.8,2.5
SHOPEE,2,4,1,4,1,3.33,4.25,3,3.67,3.67,3.5,3.63,3,4,3.5,3.5,4,4,4
TOKOPEDIA,1,3,2,5,5,4,4,4,4.33,4.33,4,4.38,5,5,4,4.5,4.5,3.6,4
SHOPEE,2,1,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SHOPEE,2,1,1,2,1,4,4,4,4,4,4,3.75,4,4,4,4,4,4,4
SHOPEE,2,1,1,1,1,4,4,4,4,4.33,4.5,4.5,4,5,4.5,4.5,4.25,4.6,4.5
TOKOPEDIA,2,2,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
TOKOPEDIA,1,3,1,4,1,2.33,3,3,3.33,3,4,4,4,4,4,4,4,4,4
SHOPEE,1,2,1,3,1,4.33,4,4,4,4,4.5,4.13,4,5,4,5,5,5,4
SHOPEE,2,2,1,2,1,4,4,4,4,3.67,4,4,4,4,4,4,4,3.6,4
SHOPEE,2,3,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3.8,4
SHOPEE,1,2,3,5,3,4,4,4.33,4,4.67,4,4.5,5,5,4.5,4.5,3.75,4.4,3.5
SHOPEE,1,2,5,1,1,3,4,3.67,3,4,3.75,4,4,4,3,3,4,4,4
SHOPEE,1,2,3,1,1,5,5,5,5,4.67,5,5,5,5,5,5,5,5,5
TOKOPEDIA,2,2,2,2,2,3.67,3,3.67,4,3.33,3.25,3.75,4,4,3.5,4.5,3.25,3.2,3
SHOPEE,2,2,2,1,1,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4
SHOPEE,2,2,1,1,1,4.67,4,4.33,3.67,4.33,3.75,3.88,4,4,4,4,4.25,3.8,4
TOKOPEDIA,1,2,1,1,1,3.67,4,4,4.67,3.67,3.75,4,4,4,3,4,4,3.6,4
SHOPEE,1,2,3,1,1,3,3.25,3,3,2.67,3.5,3.25,4,4,3,4,4,4,3
TOKOPEDIA,1,3,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,1,1,1,1,1,4,4,4,4,4,3.5,3.88,4,4,4,4,3.75,3.2,3
SHOPEE,2,2,1,5,1,4,4,3,3.67,3,4,4,4,4,4,3.5,3.75,3.6,3
TOKOPEDIA,1,2,1,1,2,3.33,3.75,3.67,3.33,4.33,3.5,3.5,3,3,3,4,4,3.6,3
TOKOPEDIA,1,2,1,5,4,4,4,3.33,4,3.33,5,4.25,5,3,4.5,4,4.75,4,4.5
SHOPEE,2,2,1,1,1,4,4,4,4,3.33,3.75,4.25,5,3,3.5,4,4,3.8,4
TOKOPEDIA,2,2,1,4,3,4,4,3.67,4,4.33,3.25,4,4,4,4,4,3.75,3,4
SHOPEE,2,2,3,1,1,3,3,4,5,4.33,4.75,5,5,5,5,4.5,4,3.2,4
SHOPEE,1,2,1,1,3,4,3.75,3.33,4.33,4.67,4,4.25,5,5,4,4,4.25,3.2,3.5
SHOPEE,2,2,3,1,1,4,3.75,3,4,3.67,3.5,3.63,4,5,4,4,3.25,3.4,3.5
SHOPEE,2,2,3,1,1,5,5,5,5,5,4.25,5,5,5,5,4.5,4.75,3.2,3.5
SHOPEE,1,2,3,1,1,4,4,4,4,3.67,4,4,4,4,4,4,4,4,4
SHOPEE,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SHOPEE,2,2,1,3,2,4,3.5,3.33,4,4,4,4,4,2,3,3.5,3.75,4.2,4
SHOPEE,2,1,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
TOKOPEDIA,1,2,1,4,1,4.33,4.75,3,4,3.67,4.25,3.88,4,4,4,4,4,4.6,3.5
TOKOPEDIA,2,3,1,5,1,4.67,5,4.67,5,5,5,5,5,5,5,5,5,4.4,5
SHOPEE,1,2,1,5,1,4.67,4,4.67,4.33,4,3.5,3.5,4,4,4,4.5,4.25,3.8,4
SHOPEE,2,4,1,4,1,3.67,3.5,3.67,3.67,4,4.5,4.25,5,3,3,4,4.5,2.4,3
SHOPEE,2,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3.75,3.4,3.5
SHOPEE,2,2,2,1,4,4,3.25,4,3.67,3,3,3.88,4,5,4,4,2.5,3.2,3
TOKOPEDIA,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.2,4
SHOPEE,2,2,1,1,1,5,3,4,3.33,4.33,3.75,4.5,4,4,4,4.5,3.5,2.8,4
SHOPEE,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,1,2,1,1,1,4.67,4.5,4.67,3.67,4.67,5,4.88,5,5,5,5,5,5,5
SHOPEE,2,3,1,1,1,3.33,3.75,3.67,4,4.33,4.25,4,4,5,4,4,3.75,3.6,2.5
SHOPEE,2,1,1,2,4,4.33,3.25,4.33,4.67,4.67,3.5,4.25,5,5,4,4,4,4,4